Date,Close,High,Low,Open,Volume
2014-04-21,93.48,93.63,91.96,92.8,1244620
2014-04-22,92.66,93.46,92.15,92.55,1086233
2014-04-23,93.03,94.05,92.78,92.97,1334423
2014-04-24,93.56,95.41,93.36,93.83,1763606
2014-04-25,91.73,93.14,91.34,93.09,1306177
2014-04-28,91.48,94.05,90.37,93.13,2768365
2014-04-29,90.43,91.0,86.29,88.88,4363457
2014-04-30,90.45,91.49,88.62,90.24,2136772
2014-05-01,89.23,90.94,88.24,90.13,1711533
2014-05-02,89.97,90.93,88.74,89.39,1011339
2014-05-05,90.61,90.77,89.02,89.54,1053334
2014-05-06,90.3,91.9696,90.08,90.92,1001316
2014-05-07,90.28,91.4925,89.61,90.93,1165900
2014-05-08,88.05,90.64,87.97,89.81,1130648
2014-05-09,88.38,88.52,87.28,87.85,853426
2014-05-12,88.91,89.3,88.22,88.62,673407
2014-05-13,89.23,89.508,88.9,89.06,673531
2014-05-14,89.08,89.52,88.6675,89.11,801311
2014-05-15,89.49,90.38,88.08,90.19,2039985
2014-05-16,88.5,89.38,87.87,89.38,1069999
2014-05-19,89.26,89.45,87.98,88.61,555822
2014-05-20,88.58,89.25,88.36,88.98,780292
2014-05-21,90.68,91.09,88.23,88.59,1037277
2014-05-22,88.91,91.04,88.85,91.03,939782
2014-05-23,88.68,89.53,88.37,89.1,812422
2014-05-26,88.68,88.68,88.68,88.68,0
2014-05-27,90.92,91.07,88.25,88.95,1101581
2014-05-28,90.32,91.14,89.3,91.14,920498
2014-05-29,91.93,92.14,89.13,90.55,1282845
2014-05-30,92.95,93.17,90.6,91.46,1768395
2014-06-02,92.7,93.35,92.15,92.95,861380
2014-06-03,93.29,93.89,92.26,92.62,973761
2014-06-04,93.03,93.535,92.44,93.19,873292
2014-06-05,93.7,94.02,92.4,93.44,772199
2014-06-06,93.36,94.0,92.55,94.0,684731
2014-06-09,92.24,94.26,92.24,93.38,1232237
2014-06-10,89.5,92.1,89.08,92.1,2042494
2014-06-11,89.4,90.15,88.73,89.21,1049284
2014-06-12,87.73,87.86,86.3,86.54,5319748
2014-06-13,88.19,88.6,87.15,88.0,2205638
2014-06-16,88.32,89.03,87.81,88.4,1933160
2014-06-17,87.8,88.49,86.85,88.33,1314913
2014-06-18,87.85,88.25,87.14,87.8,1057930
2014-06-19,88.3,88.79,87.47,87.93,973077
2014-06-20,87.96,88.83,87.36,88.45,2259176
2014-06-23,88.02,88.58,87.36,87.65,934430
2014-06-24,85.67,88.03,85.41,88.03,2116584
2014-06-25,86.02,86.84,85.34,85.67,1345595
2014-06-26,86.63,87.54,85.76,87.54,1328004
2014-06-27,85.95,86.41,85.32,86.07,1176296
2014-06-30,86.95,86.98,85.34,86.06,1105960
2014-07-01,85.37,87.37,85.17,87.07,1572825
2014-07-02,85.62,86.305,84.67,85.11,1451079
2014-07-03,85.79,85.99,84.65,85.64,667828
2014-07-04,85.79,85.79,85.79,85.79,0
2014-07-07,84.03,85.56,83.86,85.2,1879310
2014-07-08,84.07,85.08,83.6,84.3,1769714
2014-07-09,84.67,84.96,83.58,83.99,1322080
2014-07-10,82.1,83.75,81.81,83.58,2915483
2014-07-11,81.25,82.28,80.55,81.78,2468045
2014-07-14,81.98,82.16,80.63,81.56,1993597
2014-07-15,80.53,82.2,80.36,81.81,3133240
2014-07-16,80.86,81.7,80.18,81.1,2605739
2014-07-17,77.39,81.19,77.36,80.97,3610160
2014-07-18,77.95,78.25,77.56,77.6,2154728
2014-07-21,76.7,78.195,76.66,77.65,4944022
2014-07-22,76.57,77.25,75.85,77.02,3611358
2014-07-23,77.28,77.37,76.18,77.0,3167029
2014-07-24,77.4,78.59,76.94,77.25,2792279
2014-07-25,76.71,77.16,76.35,76.92,1389558
2014-07-28,76.27,76.94,75.8,76.63,2692522
2014-07-29,78.15,79.19,76.93,77.71,3986957
2014-07-30,76.06,78.22,75.68,78.16,2255963
2014-07-31,75.59,76.53,74.96,75.65,2359722
2014-08-01,75.3,77.26,74.3918,74.98,3144082
2014-08-04,76.73,77.24,75.03,75.44,1904954
2014-08-05,75.57,77.72,75.09,77.02,1759665
2014-08-06,75.07,76.29,74.83,75.47,1561324
2014-08-07,74.28,75.5999,73.84,75.43,1780242
2014-08-08,75.83,75.98,73.83,74.68,1387761
2014-08-11,75.2,76.4,75.11,76.33,1014146
2014-08-12,74.58,75.36,74.44,75.2,1230981
2014-08-13,74.77,75.1,74.25,74.58,1003498
2014-08-14,75.69,75.88,74.38,75.06,2283074
2014-08-15,75.93,76.49,75.27,75.7,1496010
2014-08-18,75.23,76.46,74.885,75.87,1086617
2014-08-19,77.06,77.49,75.59,76.02,1771024
2014-08-20,76.95,77.24,76.2,76.67,1439570
2014-08-21,77.19,77.31,76.18,77.16,909129
2014-08-22,76.76,77.15,76.3,76.92,831599
2014-08-25,78.85,79.07,77.29,78.02,1374338
2014-08-26,78.77,79.378,78.51,78.91,2043678
2014-08-27,78.02,79.02,77.58,78.62,1211134
2014-08-28,78.25,78.54,77.71,78.0,662562
2014-08-29,78.59,78.63,77.63,78.5,1066218
2014-09-01,78.59,78.59,78.59,78.59,0
2014-09-02,76.27,78.72,76.0,78.41,1741292
2014-09-03,76.15,76.96,76.03,76.68,1026636
2014-09-04,74.2,76.4675,73.75,76.2,2096766
2014-09-05,75.2,75.29,74.18,74.18,1472210
2014-09-08,74.61,74.78,74.0,74.73,1071511
2014-09-09,75.03,76.55,74.44,74.97,1933984
2014-09-10,74.65,75.11,73.77,74.74,1218411
2014-09-11,73.64,74.11,73.18,73.71,1725994
2014-09-12,72.48,73.75,72.21,73.4,1548829
2014-09-15,72.8,73.2,71.67,72.57,1642131
2014-09-16,73.33,73.72,72.2,72.61,2132920
2014-09-17,73.21,73.965,72.25,73.71,2696333
2014-09-18,71.87,73.32,71.64,73.31,2285798
2014-09-19,71.55,72.2,71.2,72.06,2308661
2014-09-22,70.25,71.75,69.85,71.47,1704010
2014-09-23,69.98,70.47,69.72,70.25,3147089
2014-09-24,68.94,69.78,67.51,69.78,3971176
2014-09-25,67.31,68.78,67.16,68.69,2577136
2014-09-26,67.7,68.37,67.0,67.55,1648531
2014-09-29,68.67,68.94,67.13,67.37,1867076
2014-09-30,67.81,68.91,66.98,68.61,2589625
2014-10-01,67.45,69.5,67.19,68.0,3498705
2014-10-02,67.96,68.385,65.89,66.97,2531373
2014-10-03,66.77,68.08,66.39,68.08,1592977
2014-10-06,65.88,66.8,65.07,66.52,2324999
2014-10-07,64.43,66.04,64.42,65.49,1517687
2014-10-08,65.57,65.73,63.67,64.08,2170302
2014-10-09,63.43,64.88,63.43,64.83,2167693
2014-10-10,63.41,65.2,62.6,63.26,2062959
2014-10-13,61.87,63.97,61.75,63.15,2571825
2014-10-14,62.96,64.43,62.03,63.0,2977082
2014-10-15,65.71,65.85,61.3313,62.18,3775861
2014-10-16,69.14,70.15,64.1,64.1,4548091
2014-10-17,67.32,70.7,66.66,70.15,3461686
2014-10-20,66.29,68.04,65.56,66.98,2157671
2014-10-21,68.58,68.68,66.49,66.87,1979969
2014-10-22,66.69,69.34,66.66,68.62,1436199
2014-10-23,68.61,69.97,67.41,67.52,2073554
